Media Outlet,Ad Instance Date Time (EST),Ad Length,Net Cleared,P25-54 Imps +3 (Actual),CPM,Ad,Program,Program Genre,Feed,Market,Attributes,Ad Instance ID
WEATHER CHANNEL,6/29/2021 0:18,:30,0,17.6,0,How Does Your Credit Grow 30,Secrets of the Earth,science & technology / Weather,Live,National,LOC,33361997
DISCOVERY CHANNEL,6/29/2021 1:36,:30,85,25.8,3.294573643,How Does Your Credit Grow 30,Street Outlaws,auto info / auto racing / extreme sports / reality / season copy,Dual,National,LOC,33361995
DISCOVERY CHANNEL,6/29/2021 2:48,:30,85,21.4,3.971962617,Open Sesame 30,Street Outlaws,auto info / auto racing / extreme sports / reality / season copy,Dual,National,LOC,33361996
FOX NEWS CHANNEL,6/28/2021 6:24,:30,403.75,30.4,13.28125,How Does Your Credit Grow 30,FOX & Friends,current affairs / newsmagazine / talk,Live,National,LOC,33354782
WEATHER CHANNEL,6/28/2021 9:47,:30,63.75,9.2,6.929347826,How Does Your Credit Grow 30,America's Morning Headquarters,newscast / Weather,Live,National,LOC,33354783
ANIMAL PLANET,6/28/2021 16:28,:30,127.5,18.9,6.746031746,How Does Your Credit Grow 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / gardening / hunting / nature / outdoors / reality / season copy / season premiere / wildlife,Dual,National,LOC,33354774
ANIMAL PLANET,6/28/2021 17:28,:30,127.5,14.4,8.854166667,Open Sesame 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / gardening / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33354777
ANIMAL PLANET,6/28/2021 17:49,:30,127.5,16.5,7.727272727,How Does Your Credit Grow 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / gardening / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33354775
ANIMAL PLANET,6/28/2021 18:27,:30,127.5,25.2,5.05952381,Open Sesame 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / gardening / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33354778
WE TV,6/28/2021 18:41,:30,212.5,16.8,12.64880952,How Does Your Credit Grow 30,Criminal Minds,crime drama / drama / police / suspense/thriller,Dual,National,LOC,33354779
ANIMAL PLANET,6/28/2021 19:28,:30,127.5,25.2,5.05952381,How Does Your Credit Grow 30,Alaska: The Last Frontier,action/adventure / agriculture / animals / drama / environment / fishing / gardening / hunting / nature / outdoors / reality / season copy / wildlife,Dual,National,LOC,33354776
DIRECTV SPORTS CLUSTER,6/28/2021 19:45,:30,1190,125.6,9.474522293,How Does Your Credit Grow 30,,,Live,National,,33354785
